species,category,pattern_type,peak_frequency,min_frequency,min_max_ratio,weeks_with_presence,num_valleys,valley_types,is_overwintering,edge_case_flags
Connecticut Warbler,single-season,summer,0.009394,0.0,0.0,10,1,winter,No,low_presence
Mourning Warbler,two-passage-migrant,two-passage,0.021542,0.0,0.0,15,2,summer|winter,No,classic_bimodal
Kentucky Warbler,vagrant,irregular,0.004522,0.0,0.0,8,1,winter,No,low_peak_frequency
Common Yellowthroat,single-season,summer,0.388241,0.0,0.0,28,1,winter,No,
Hooded Warbler,single-season,summer,0.047619,0.0,0.0,23,1,winter,No,
American Redstart,two-passage-migrant,two-passage,0.3207,0.0,0.0,28,2,summer|winter,No,classic_bimodal
Kirtland's Warbler,vagrant,irregular,0.005482,0.0,0.0,3,1,winter,No,
Cape May Warbler,two-passage-migrant,two-passage,0.061665,0.0,0.0,18,2,summer|winter,No,classic_bimodal
Cerulean Warbler,single-season,summer,0.035309,0.0,0.0,17,1,winter,No,
Northern Parula,two-passage-migrant,two-passage,0.12949,0.0,0.0,27,2,summer|winter,No,classic_bimodal
Magnolia Warbler,two-passage-migrant,two-passage,0.201094,0.0,0.0,18,2,summer|winter,No,classic_bimodal
